P_W,v_mm_per_s,melt_width_um,melt_depth_um,material
100.0,400.0,119.7142857,129.2857143,316L
100.0,500.0,109.7142857,98.85714286,316L
100.0,600.0,100.2857143,75.14285714,316L
100.0,700.0,79.0,49.14285714,316L
100.0,800.0,80.14285714,47.57142857,316L
100.0,900.0,75.71428571,46.0,316L
100.0,1000.0,72.71428571,46.14285714,316L
100.0,1100.0,61.0,28.85714286,316L
200.0,400.0,144.2857143,305.7142857,316L
200.0,500.0,157.7142857,278.7142857,316L
200.0,600.0,133.7142857,265.8571429,316L
200.0,700.0,126.0,198.8571429,316L
200.0,800.0,141.4285714,128.4285714,316L
200.0,900.0,135.7142857,144.0,316L
200.0,1000.0,131.7142857,97.85714286,316L
200.0,1100.0,120.8571429,84.14285714,316L
300.0,400.0,170.8571429,571.1428571,316L
300.0,500.0,159.1428571,469.4285714,316L
300.0,600.0,141.7142857,445.1428571,316L
300.0,700.0,145.1428571,360.8571429,316L
300.0,800.0,138.0,350.4285714,316L
300.0,900.0,124.2857143,305.0,316L
300.0,1000.0,120.2857143,227.7142857,316L
300.0,1100.0,112.0,201.1428571,316L
400.0,400.0,190.5714286,749.7142857,316L
400.0,500.0,200.5714286,623.7142857,316L
400.0,600.0,182.5714286,532.5714286,316L
400.0,700.0,147.7142857,496.8571429,316L
400.0,800.0,147.1428571,454.5714286,316L
400.0,900.0,136.2857143,409.8571429,316L
400.0,1000.0,123.1428571,356.8571429,316L
400.0,1100.0,114.2857143,313.5714286,316L
500.0,400.0,188.0,911.4285714,316L
500.0,500.0,182.0,885.8571429,316L
500.0,600.0,163.7142857,799.2857143,316L
500.0,700.0,152.5714286,721.5714286,316L
500.0,800.0,141.4285714,648.0,316L
500.0,900.0,125.4285714,555.5714286,316L
500.0,1000.0,138.8571429,444.4285714,316L
500.0,1100.0,142.0,287.5714286,316L
600.0,400.0,,,316L
600.0,500.0,,,316L
600.0,600.0,179.7142857,895.2857143,316L
600.0,700.0,161.4285714,782.0,316L
600.0,800.0,153.7142857,681.0,316L
600.0,900.0,136.2857143,637.1428571,316L
600.0,1000.0,,,316L
600.0,1100.0,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
,,,,316L
