P_W,v_mm_per_s,melt_depth_um,melt_width_um,material
100,400,157,98,IN718
100,500,136,90,IN718
100,600,55,92,IN718
100,700,71,82,IN718
100,800,30,70,IN718
100,900,19,60,IN718
100,400,138,112,IN718
100,500,115,110,IN718
100,600,44,86,IN718
100,700,55,96,IN718
100,800,14,56,IN718
100,900,17,62,IN718
100,400,153,110,IN718
100,500,76,106,IN718
100,600,56,94,IN718
100,700,44,84,IN718
100,800,37,82,IN718
100,900,22,60,IN718
100,400,142,106,IN718
100,500,78,100,IN718
100,600,76,98,IN718
100,700,48,102,IN718
100,800,19,72,IN718
100,900,35,82,IN718
100,400,138,122,IN718
100,500,79,104,IN718
100,600,87,104,IN718
100,700,47,88,IN718
100,800,25,78,IN718
100,900,15,58,IN718
100,400,163,112,IN718
100,500,87,102,IN718
100,600,50,90,IN718
100,700,49,96,IN718
100,800,44,86,IN718
100,900,23,72,IN718
100,400,108,136,IN718
100,500,100,112,IN718
100,600,52,102,IN718
100,700,63,100,IN718
100,800,23,68,IN718
100,900,27,64,IN718
100,400,153,140,IN718
100,500,81,114,IN718
100,600,41,100,IN718
100,700,37,86,IN718
100,800,25,66,IN718
100,900,23,70,IN718
100,400,148,140,IN718
100,500,100,100,IN718
100,600,59,104,IN718
100,700,44,78,IN718
100,800,22,60,IN718
100,900,45,78,IN718
200,400,289,166,IN718
200,500,252,146,IN718
200,600,205,136,IN718
200,700,206,132,IN718
200,800,178,136,IN718
200,900,137,104,IN718
200,1000,105,112,IN718
200,1100,86,90,IN718
200,400,258,168,IN718
200,500,259,136,IN718
200,600,223,178,IN718
200,700,154,128,IN718
200,800,111,150,IN718
200,900,137,118,IN718
200,1000,127,106,IN718
200,1100,90,100,IN718
200,400,254,186,IN718
200,500,234,166,IN718
200,600,205,154,IN718
200,700,189,146,IN718
200,800,167,150,IN718
200,900,107,110,IN718
200,1000,115,112,IN718
200,1100,77,92,IN718
200,400,321,180,IN718
200,500,276,140,IN718
200,600,214,194,IN718
200,700,205,142,IN718
200,800,152,144,IN718
200,900,102,140,IN718
200,1000,92,96,IN718
200,1100,53,84,IN718
200,400,318,202,IN718
200,500,244,154,IN718
200,600,186,154,IN718
200,700,196,140,IN718
200,800,155,148,IN718
200,900,124,122,IN718
200,1000,106,110,IN718
200,1100,75,104,IN718
200,400,355,184,IN718
200,500,265,140,IN718
200,600,219,148,IN718
200,700,176,150,IN718
200,800,140,132,IN718
200,900,127,128,IN718
200,1000,104,110,IN718
200,1100,93,138,IN718
200,400,303,198,IN718
200,500,281,176,IN718
200,600,251,192,IN718
200,700,175,178,IN718
200,800,161,150,IN718
200,900,128,140,IN718
200,1000,105,128,IN718
200,1100,106,110,IN718
200,400,346,190,IN718
200,500,299,176,IN718
200,600,236,150,IN718
200,700,166,164,IN718
200,800,143,148,IN718
200,900,145,112,IN718
200,1000,101,100,IN718
200,1100,106,92,IN718
200,400,326,186,IN718
200,500,304,220,IN718
200,600,217,178,IN718
200,700,162,158,IN718
200,800,170,168,IN718
200,900,155,136,IN718
200,1000,100,116,IN718
200,1100,112,112,IN718
300,400,473,176,IN718
300,500,460,158,IN718
300,600,369,156,IN718
300,700,313,132,IN718
300,800,300,142,IN718
300,900,260,122,IN718
300,1000,246,110,IN718
300,1100,147,132,IN718
300,400,556,170,IN718
300,500,495,168,IN718
300,600,422,128,IN718
300,700,328,150,IN718
300,800,287,146,IN718
300,900,280,122,IN718
300,1000,233,132,IN718
300,1100,182,134,IN718
300,400,539,222,IN718
300,500,509,168,IN718
300,600,407,154,IN718
300,700,264,158,IN718
300,800,310,126,IN718
300,900,320,152,IN718
300,1000,217,128,IN718
300,1100,184,144,IN718
300,400,505,198,IN718
300,500,526,154,IN718
300,600,365,150,IN718
300,700,307,176,IN718
300,800,295,146,IN718
300,900,287,136,IN718
300,1000,177,136,IN718
300,1100,136,134,IN718
300,400,546,196,IN718
300,500,463,198,IN718
300,600,334,204,IN718
300,700,378,186,IN718
300,800,333,146,IN718
300,900,279,146,IN718
300,1000,195,140,IN718
300,1100,144,126,IN718
300,400,551,186,IN718
300,500,520,208,IN718
300,600,317,180,IN718
