material,P_W,v_mm_per_s,melt_width_um,melt_depth_um
Ti64,200,1300,147.4782,148.0224
Ti64,200,1350,132.2406,139.8594
Ti64,200,1400,136.05,128.4312
Ti64,200,1450,135.8686,115.4611
Ti64,200,1500,148.5666,78.0927
Ti64,200,1550,141.7641,79.9974
Ti64,200,1600,144.7572,63.6714
Ti64,200,1650,144.4851,67.4808
Ti64,200,1700,140.6757,71.0181
Ti64,200,1300,135.5965,156.2761
Ti64,200,1350,143.6688,146.3898
Ti64,200,1400,131.4243,140.6757
Ti64,200,1450,137.1384,111.2889
Ti64,200,1500,142.8525,97.956
Ti64,200,1550,139.8594,106.6632
Ti64,200,1600,134.1453,97.2304
Ti64,200,1650,136.8663,87.3441
Ti64,200,1700,146.3898,116.1867
Ti64,200,1300,193.4631,40.815
Ti64,200,1350,179.0418,46.8012
Ti64,200,1400,175.7766,73.7391
Ti64,200,1450,162.1716,67.7529
Ti64,200,1500,122.1729,68.2971
Ti64,200,1550,177.4092,42.4476
Ti64,200,1600,187.4769,36.7335
Ti64,200,1650,175.7766,48.4338
Ti64,200,1700,141.2199,69.1134
Ti64,200,1300,133.6011,142.0362
Ti64,200,1350,138.4989,148.2945
Ti64,200,1400,142.8525,126.1637
Ti64,200,1450,141.7641,114.5541
Ti64,200,1500,143.3967,118.0914
Ti64,200,1550,145.8456,93.0582
Ti64,200,1600,131.6964,115.9146
Ti64,200,1650,133.329,103.1259
Ti64,200,1700,133.329,97.6839
Ti64,200,1300,168.8834,109.3842
Ti64,200,1350,138.8617,144.5758
Ti64,200,1400,143.3967,134.1453
Ti64,200,1450,122.9892,139.2245
Ti64,200,1500,135.3244,139.8594
Ti64,200,1550,111.2889,132.6941
Ti64,200,1600,114.6448,122.3543
Ti64,200,1650,141.4013,71.5623
Ti64,200,1700,105.5748,106.119
Ti64,200,1300,160.0855,154.4621
Ti64,200,1350,155.097,167.7043
Ti64,200,1400,157.0017,151.5597
Ti64,200,1450,154.2807,135.2337
Ti64,200,1500,145.0293,112.6494
Ti64,200,1550,158.0901,104.7585
Ti64,200,1600,144.4851,130.608
Ti64,200,1650,138.4989,133.9639
Ti64,200,1700,133.8732,126.98
Ti64,200,1300,147.4782,136.05
Ti64,200,1350,136.05,136.05
Ti64,200,1400,133.6011,137.9547
Ti64,200,1450,128.7033,110.4726
Ti64,200,1500,119.9054,124.6218
Ti64,200,1550,142.3083,86.7999
Ti64,200,1600,127.6149,83.8068
Ti64,200,1650,134.9616,81.9021
Ti64,200,1700,136.3221,100.9491
Ti64,200,1300,148.0224,135.2337
Ti64,200,1350,181.7628,134.4174
Ti64,200,1400,155.097,119.9961
Ti64,200,1450,134.1453,112.3773
Ti64,200,1500,133.0569,99.9514
Ti64,200,1550,139.8594,111.2889
Ti64,200,1600,139.0431,88.5232
Ti64,200,1650,131.6964,72.3786
Ti64,200,1700,184.7559,73.1949
Ti64,200,1300,143.2153,143.2153
Ti64,200,1350,161.1739,139.0431
Ti64,200,1400,136.3221,125.166
Ti64,200,1450,136.3221,121.3566
Ti64,200,1500,132.1499,71.5623
Ti64,200,1550,143.5781,81.9021
Ti64,200,1600,140.7664,61.7667
Ti64,200,1650,139.3152,60.9504
Ti64,200,1700,138.6803,68.5692
Ti64,200,1300,133.7825,152.1946
Ti64,200,1350,139.0431,146.934
Ti64,200,1400,136.3221,109.2935
Ti64,200,1450,139.4059,114.9169
Ti64,200,1500,144.8479,81.63
Ti64,200,1550,136.2314,72.9228
Ti64,200,1600,141.2199,87.5255
Ti64,200,1650,133.6011,82.9905
Ti64,200,1700,127.7056,103.1259
Ti64,200,1300,144.4851,38.3661
Ti64,200,1350,164.8926,45.1686
Ti64,200,1400,168.702,65.5761
Ti64,200,1450,180.9465,64.4877
Ti64,200,1500,179.8581,60.9504
Ti64,200,1550,169.5183,41.6313
Ti64,200,1600,187.2048,33.0148
Ti64,200,1650,196.1841,44.3523
Ti64,200,1700,177.9534,65.3947
Ti64,200,1300,135.2337,141.492
Ti64,200,1350,137.3198,145.5735
Ti64,200,1400,118.9077,121.6287
Ti64,200,1450,130.3359,105.6655
Ti64,200,1500,139.0431,109.747
Ti64,200,1550,130.0638,87.7069
Ti64,200,1600,137.4105,112.3773
Ti64,200,1650,134.6895,95.235
Ti64,200,1700,135.7779,102.0375
Ti64,200,1300,130.608,105.5748
Ti64,200,1350,144.4851,124.7125
Ti64,200,1400,144.7572,108.2958
Ti64,200,1450,111.2889,122.7171
Ti64,200,1500,138.2268,134.9616
Ti64,200,1550,129.5196,127.3428
Ti64,200,1600,118.9077,105.6655
Ti64,200,1650,135.5058,68.5692
Ti64,200,1700,132.6034,101.0398
Ti64,200,1300,167.3415,128.4312
Ti64,200,1350,153.7365,149.4736
Ti64,200,1400,126.5265,98.0467
Ti64,200,1450,108.2958,97.8653
Ti64,200,1500,149.4736,95.5071
Ti64,200,1550,162.7158,102.3096
Ti64,200,1600,145.4828,129.3382
Ti64,200,1650,129.8824,117.2751
Ti64,200,1700,130.608,80.8137
Ti64,200,1300,148.8387,139.5873
Ti64,200,1350,135.2337,136.3221
Ti64,200,1400,147.4782,135.3244
Ti64,200,1450,113.5564,104.4864
Ti64,200,1500,128.7033,125.7102
Ti64,200,1550,135.2337,91.1535
Ti64,200,1600,144.4851,74.8275
Ti64,200,1650,138.2268,84.7138
Ti64,200,1700,134.9616,104.7585
Ti64,200,1300,136.05,135.7779
Ti64,200,1350,151.1969,133.0569
Ti64,200,1400,122.9892,115.0983
Ti64,200,1450,122.9892,99.8607
Ti64,200,1500,110.654,100.9491
Ti64,200,1550,129.7917,106.6632
Ti64,200,1600,141.492,79.5439
Ti64,200,1650,145.5735,71.0181
Ti64,200,1700,136.05,66.6645
Ti64,200,1300,131.4243,145.5735
Ti64,200,1350,134.4174,132.6034
Ti64,200,1400,135.2337,124.6218
Ti64,200,1450,127.887,118.0914
Ti64,200,1500,142.8525,85.7115
Ti64,200,1550,136.8663,96.3234
Ti64,200,1600,130.3359,73.7391
Ti64,200,1650,131.6964,74.8275
Ti64,200,1700,137.1384,104.4864
Ti64,200,1300,158.0901,157.2738
Ti64,200,1350,140.6757,165.4368
Ti64,200,1400,123.5334,145.3014
Ti64,200,1450,130.0638,140.9478
Ti64,200,1500,137.4105,135.2337
Ti64,200,1550,136.6849,97.6839
Ti64,200,1600,151.0155,81.63
Ti64,200,1650,143.1246,130.6987
Ti64,200,1700,137.2291,96.0513
Ti64,200,1300,148.5666,50.3385
Ti64,200,1350,159.7227,39.7266
Ti64,200,1400,179.3139,46.257
Ti64,200,1450,184.7559,64.7598
Ti64,200,1500,152.6481,64.4877
Ti64,200,1550,154.2807,53.0595
Ti64,200,1600,187.4769,38.094
Ti64,200,1650,189.6537,43.8081
Ti64,200,1700,194.0073,78.6369
Ti64,200,1300,147.4782,144.4851
Ti64,200,1350,142.8525,142.5804
Ti64,200,1400,136.3221,135.2337
Ti64,200,1450,137.1384,105.5748
Ti64,200,1500,134.9616,95.7792
Ti64,200,1550,130.608,88.7046
Ti64,200,1600,147.7503,86.2557
Ti64,200,1650,127.887,77.2764
Ti64,200,1700,131.4243,69.9297
Ti64,200,1300,146.6619,141.492
Ti64,200,1350,152.376,154.5528
Ti64,200,1400,139.8594,159.1785
Ti64,200,1450,173.4184,134.1453
Ti64,200,1500,164.6205,110.4726
Ti64,200,1550,122.9892,124.6218
Ti64,200,1600,122.7171,126.2544
Ti64,200,1650,127.3428,53.0595
Ti64,200,1700,130.608,66.6645
Ti64,200,1300,177.772,184.121
Ti64,200,1350,147.7503,167.8857
Ti64,200,1400,160.0855,172.2393
Ti64,200,1450,154.0993,142.0362
Ti64,200,1500,148.4759,124.8939
Ti64,200,1550,167.6136,118.0914
Ti64,200,1600,161.0832,106.3911
Ti64,200,1650,147.6596,106.6632
Ti64,200,1700,131.9685,77.9113
Ti64,200,1300,150.4713,112.5587
Ti64,200,1350,149.655,148.5666
Ti64,200,1400,144.4851,137.9547
Ti64,200,1450,140.9478,130.608
Ti64,200,1500,142.8525,110.2005
Ti64,200,1550,145.3014,105.1213
Ti64,200,1600,142.5804,95.235
Ti64,200,1650,147.4782,88.5232
Ti64,200,1700,148.5666,81.63
Ti64,200,1300,154.3714,144.7572
Ti64,200,1350,136.8663,134.1453
Ti64,200,1400,151.2876,130.3359
Ti64,200,1450,126.5265,124.6218
Ti64,200,1500,126.5265,78.0927
Ti64,200,1550,133.329,117.8193
Ti64,200,1600,168.7927,78.0927
Ti64,200,1650,135.7779,74.8275
Ti64,200,1700,129.5196,73.8298
Ti64,370,1300,269.676,283.296
Ti64,370,1350,261.504,326.88
Ti64,370,1400,295.554,275.124
Ti64,370,1450,294.192,276.486
Ti64,370,1500,290.106,265.59
Ti64,370,1550,291.922,266.952
Ti64,370,1600,267.406,228.816
Ti64,370,1650,276.486,238.35
Ti64,370,1700,261.504,246.522
Ti64,370,1300,276.486,276.486
Ti64,370,1350,256.056,280.572
Ti64,370,1400,253.786,279.21
Ti64,370,1450,296.008,257.418
Ti64,370,1500,282.388,314.622
Ti64,370,1550,266.498,268.768
Ti64,370,1600,227.454,261.504
Ti64,370,1650,265.136,261.504
Ti64,370,1700,246.976,230.178
Ti64,370,1300,262.866,171.612
Ti64,370,1350,256.51,141.648
Ti64,370,1400,261.504,175.698
Ti64,370,1450,253.786,114.408
Ti64,370,1500,262.866,88.53
Ti64,370,1550,294.192,89.892
Ti64,370,1600,236.988,129.39
Ti64,370,1650,227.454,96.702
Ti64,370,1700,238.804,186.594
Ti64,370,1300,152.544,133.476
Ti64,370,1350,277.394,233.356
Ti64,370,1400,271.038,209.748
Ti64,370,1450,315.984,152.544
Ti64,370,1500,275.124,148.458
Ti64,370,1550,236.988,204.754
Ti64,370,1600,219.282,177.06
Ti64,370,1650,236.988,198.852
Ti64,370,1700,271.038,198.852
Ti64,370,1300,208.386,156.63
Ti64,370,1350,219.282,156.63
Ti64,370,1400,175.244,133.93
Ti64,370,1450,200.214,113.046
Ti64,370,1500,185.232,122.58
Ti64,370,1550,170.25,133.476
Ti64,370,1600,187.956,166.618
Ti64,370,1650,257.418,131.206
Ti64,370,1700,167.526,137.562
Ti64,370,1300,198.852,170.25
Ti64,370,1350,280.572,196.128
Ti64,370,1400,257.418,157.992
Ti64,370,1450,291.468,208.386
Ti64,370,1500,269.676,166.164
Ti64,370,1550,229.27,202.938
Ti64,370,1600,230.178,200.668
Ti64,370,1650,215.196,215.196
Ti64,370,1700,179.784,143.01
Ti64,370,1300,243.798,108.506
Ti64,370,1350,253.786,162.078
Ti64,370,1400,242.436,98.064
Ti64,370,1450,270.13,80.812
Ti64,370,1500,230.178,117.132
Ti64,370,1550,271.038,113.046
Ti64,370,1600,224.73,95.34
Ti64,370,1650,231.994,139.832
Ti64,370,1700,219.282,157.992
Ti64,370,1300,245.16,181.6
Ti64,370,1350,247.884,160.716
Ti64,370,1400,242.436,209.748
Ti64,370,1450,233.356,191.134
Ti64,370,1500,227.454,172.066
Ti64,370,1550,243.344,192.95
Ti64,370,1600,231.54,204.3
Ti64,370,1650,219.736,143.464
Ti64,370,1700,213.834,98.064
Ti64,370,1300,310.536,239.712
Ti64,370,1350,309.174,238.35
Ti64,370,1400,271.038,262.866
Ti64,370,1450,309.174,204.3
Ti64,370,1500,256.056,183.87
Ti64,370,1550,264.228,208.84
Ti64,370,1600,237.896,147.55
Ti64,370,1650,205.208,172.974
Ti64,370,1700,236.988,154.36
Ti64,370,1300,280.118,291.468
Ti64,370,1350,327.334,256.056
Ti64,370,1400,318.708,272.4
Ti64,370,1450,291.468,232.902
Ti64,370,1500,242.436,279.21
Ti64,370,1550,235.626,205.662
Ti64,370,1600,246.522,236.988
Ti64,370,1650,208.386,133.476
Ti64,370,1700,213.834,137.562
Ti64,370,1300,236.988,212.472
Ti64,370,1350,250.608,230.178
Ti64,370,1400,181.146,196.128
Ti64,370,1450,200.668,197.036
Ti64,370,1500,175.698,152.998
Ti64,370,1550,211.11,183.87
Ti64,370,1600,138.016,153.452
Ti64,370,1650,179.784,128.482
Ti64,370,1700,179.784,162.986
Ti64,370,1300,194.766,113.046
Ti64,370,1350,220.19,108.96
Ti64,370,1400,230.178,157.992
Ti64,370,1450,215.65,84.444
Ti64,370,1500,223.822,137.562
Ti64,370,1550,178.876,80.812
Ti64,370,1600,196.128,136.2
Ti64,370,1650,199.306,99.426
Ti64,370,1700,185.232,102.604
Ti64,370,1300,238.35,204.3
Ti64,370,1350,237.442,224.73
Ti64,370,1400,221.098,201.576
Ti64,370,1450,212.018,123.488
Ti64,370,1500,224.276,84.444
Ti64,370,1550,224.276,118.494
Ti64,370,1600,230.178,98.064
Ti64,370,1650,201.122,143.464
Ti64,370,1700,203.392,118.494
Ti64,370,1300,246.522,167.526
Ti64,370,1350,155.268,141.648
Ti64,370,1400,185.232,198.852
Ti64,370,1450,225.184,106.236
Ti64,370,1500,236.988,104.874
Ti64,370,1550,322.794,98.518
Ti64,370,1600,227.454,91.254
Ti64,370,1650,200.214,132.114
Ti64,370,1700,213.834,113.046
Ti64,370,1300,276.486,228.816
Ti64,370,1350,247.884,271.038
Ti64,370,1400,252.424,215.196
Ti64,370,1450,190.68,177.06
Ti64,370,1500,251.97,271.492
Ti64,370,1550,217.92,228.816
Ti64,370,1600,190.68,185.232
Ti64,370,1650,172.974,133.022
Ti64,370,1700,217.012,81.72
Ti64,370,1300,227.908,137.562
Ti64,370,1350,222.46,215.196
Ti64,370,1400,212.472,209.748
Ti64,370,1450,224.73,197.944
Ti64,370,1500,223.368,177.06
Ti64,370,1550,212.472,147.096
Ti64,370,1600,235.626,162.078
Ti64,370,1650,215.196,147.55
Ti64,370,1700,179.784,89.892
Ti64,370,1550,253.332,147.096
Ti64,370,1600,215.196,205.662
Ti64,370,1650,204.754,160.716
Ti64,370,1700,223.368,143.01
Ti64,370,1300,286.928,267.406
Ti64,370,1350,253.332,251.97
Ti64,370,1400,247.884,251.97
Ti64,370,1450,232.902,200.214
Ti64,370,1500,257.418,238.35
Ti64,370,1550,215.196,185.232
Ti64,370,1600,242.89,170.25
Ti64,370,1650,179.784,152.544
Ti64,370,1700,223.368,138.924
Ti64,370,1300,205.662,104.874
Ti64,370,1350,243.798,228.816
Ti64,370,1400,219.282,113.046
Ti64,370,1300,271.038,156.63
Ti64,370,1350,253.332,143.01
Ti64,370,1400,256.056,113.046
Ti64,370,1450,251.97,95.34
Ti64,370,1500,214.288,99.426
Ti64,370,1550,200.214,85.806
Ti64,370,1600,215.196,132.114
Ti64,370,1650,257.418,133.476
Ti64,370,1700,238.35,87.168
Ti64,370,1300,213.834,136.2
Ti64,370,1350,200.214,114.408
Ti64,370,1400,204.3,141.648
Ti64,370,1450,215.65,162.078
Ti64,370,1500,228.816,88.53
Ti64,370,1550,234.264,104.874
Ti64,370,1450,227.454,74.91
Ti64,370,1500,204.3,47.67
Ti64,370,1550,205.662,76.272
Ti64,370,1600,157.992,118.494
Ti64,370,1650,234.264,68.1
Ti64,370,1700,193.404,102.15
Ti64,370,1300,307.812,193.858
Ti64,370,1350,276.486,208.386
Ti64,370,1400,262.866,187.956
Ti64,370,1450,232.448,145.734
Ti64,370,1500,229.27,179.784
Ti64,370,1550,253.332,156.63
Ti64,370,1600,212.472,179.784
Ti64,370,1650,257.418,235.172
Ti64,370,1700,164.802,119.856
Ti64,370,1300,250.608,238.804
Ti64,370,1600,232.902,152.544
Ti64,370,1650,200.214,132.114
Ti64,370,1700,227.454,145.734
Ti64,370,1300,256.056,251.062
Ti64,370,1350,272.4,227.454
Ti64,370,1400,253.332,213.834
Ti64,370,1450,250.608,217.92
Ti64,370,1500,257.418,191.134
Ti64,370,1550,238.35,204.3
Ti64,370,1600,232.902,133.476
Ti64,370,1650,219.282,171.612
Ti64,370,1700,175.698,128.028
Ti64,370,1300,260.142,272.4
Ti64,370,1350,228.816,256.056
Ti64,370,1400,299.64,295.554
Ti64,370,1450,212.472,234.264
Ti64,370,1500,186.14,257.418
Ti64,370,1550,223.368,217.92
Ti64,370,1600,213.834,148.458
Ti64,370,1650,190.68,186.594
