material,P_W,v_mm_per_s,melt_width_um,melt_depth_um,LED_J_per_mm,norm_width,norm_depth,h_mm,t_mm,VED_J_per_mm3
316L,100.0,400.0,119.7142857,129.2857143,0.25,0.36572517886928946,0.10545327430668841,0.11,0.04,56.81818181818182
316L,100.0,500.0,109.7142857,98.85714286,0.2,0.33517534292190854,0.0806338848776509,0.11,0.04,45.45454545454545
316L,100.0,600.0,100.2857143,75.14285714,0.16666666666666666,0.3063712119730917,0.06129107433931485,0.11,0.04,37.878787878787875
316L,100.0,700.0,79.0,49.14285714,0.14285714285714285,0.2413437039843096,0.040083896525285476,0.11,0.04,32.467532467532465
316L,100.0,800.0,80.14285714,47.57142857,0.125,0.2448351137981389,0.03880214402120718,0.11,0.04,28.40909090909091
316L,100.0,900.0,75.71428571,46.0,0.1111111111111111,0.23130590073136306,0.037520391517128875,0.11,0.04,25.252525252525253
316L,100.0,1000.0,72.71428571,46.14285714,0.1,0.22214094994714878,0.03763691446982055,0.11,0.04,22.727272727272727
316L,100.0,1100.0,61.0,28.85714286,0.09090909090909091,0.18635399927902388,0.02353763691680261,0.11,0.04,20.66115702479339
316L,200.0,400.0,144.2857143,305.7142857,0.5,0.4407904901415679,0.24935912373572594,0.11,0.04,113.63636363636364
316L,200.0,500.0,157.7142857,278.7142857,0.4,0.48181455546933716,0.2273362852365416,0.11,0.04,90.9090909090909
316L,200.0,600.0,133.7142857,265.8571429,0.3333333333333333,0.40849494919562285,0.21684921933115822,0.11,0.04,75.75757575757575
316L,200.0,700.0,126.0,198.8571429,0.2857142857142857,0.3849279329370001,0.1621999534257749,0.11,0.04,64.93506493506493
316L,200.0,800.0,141.4285714,128.4285714,0.25,0.4320619654542455,0.10475413654159871,0.11,0.04,56.81818181818182
316L,200.0,900.0,135.7142857,144.0,0.2222222222222222,0.414604916385099,0.11745513866231648,0.11,0.04,50.505050505050505
316L,200.0,1000.0,131.7142857,97.85714286,0.2,0.40238498200614664,0.07981822419249592,0.11,0.04,45.45454545454545
316L,200.0,1100.0,120.8571429,84.14285714,0.18181818181818182,0.3692165888664178,0.06863202050570963,0.11,0.04,41.32231404958678
316L,300.0,400.0,170.8571429,571.1428571,0.75,0.5219657686033227,0.4658587741435563,0.11,0.04,170.45454545454547
316L,300.0,500.0,159.1428571,469.4285714,0.6,0.4861788176602491,0.38289443017944536,0.11,0.04,136.36363636363635
316L,300.0,600.0,141.7142857,445.1428571,0.5,0.4329348179535276,0.36308552781402936,0.11,0.04,113.63636363636363
316L,300.0,700.0,145.1428571,360.8571429,0.42857142857142855,0.4434090473339158,0.2943369844208809,0.11,0.04,97.4025974025974
316L,300.0,800.0,138.0,350.4285714,0.375,0.4215877360738573,0.2858308086460033,0.11,0.04,85.22727272727273
316L,300.0,900.0,124.2857143,305.0,0.3333333333333333,0.379690818246806,0.24877650897226752,0.11,0.04,75.75757575757576
316L,300.0,1000.0,120.2857143,227.7142857,0.3,0.3674708838678536,0.18573759029363784,0.11,0.04,68.18181818181817
316L,300.0,1100.0,112.0,201.1428571,0.2727272727272727,0.3421581626106668,0.16406432063621532,0.11,0.04,61.98347107438017
316L,400.0,400.0,190.5714286,749.7142857,1.0,0.5821925879988024,0.6115124679445351,0.11,0.04,227.27272727272728
316L,400.0,500.0,200.5714286,623.7142857,0.8,0.6127424239461834,0.5087392216150082,0.11,0.04,181.8181818181818
316L,400.0,600.0,182.5714286,532.5714286,0.6666666666666666,0.5577527192408976,0.43439757634584014,0.11,0.04,151.5151515151515
316L,400.0,700.0,147.7142857,496.8571429,0.5714285714285714,0.4512647195219562,0.4052668376019576,0.11,0.04,129.87012987012986
316L,400.0,800.0,147.1428571,454.5714286,0.5,0.44951901452339194,0.37077604290375205,0.11,0.04,113.63636363636364
316L,400.0,900.0,136.2857143,409.8571429,0.4444444444444444,0.41635062138366313,0.3343043579934747,0.11,0.04,101.01010101010101
316L,400.0,1000.0,123.1428571,356.8571429,0.4,0.3761994082496777,0.291074341680261,0.11,0.04,90.9090909090909
316L,400.0,1100.0,114.2857143,313.5714286,0.36363636363636365,0.34914098229942503,0.2557678862969005,0.11,0.04,82.64462809917356
316L,500.0,400.0,188.0,911.4285714,1.25,0.5743369158107621,0.7434164530179446,0.11,0.04,284.09090909090907
316L,500.0,500.0,182.0,885.8571429,1.0,0.5560070142423336,0.722558844127243,0.11,0.04,227.27272727272725
316L,500.0,600.0,163.7142857,799.2857143,0.8333333333333334,0.5001444570377657,0.651945933360522,0.11,0.04,189.39393939393938
