Sample,P,v,w exp,d exp,R exp,,w model,R model,d model,,R error,w error,d error,,melting regime,,av.error,R,w,d,,nb. of samples
1,100,400,119.7142857,129.2857143,1.079952267,,96.0977,1.31,125.6939,,-0.213016575,0.197274582,0.027781989,,keyhole,,conduction (R<1),0.2491,0.0787,0.206,,6
2,100,500,109.7142857,98.85714286,0.901041667,,89.1506,1.12,99.5664,,-0.24300578,0.187429427,-0.007174566,,transition,,transition (0.8),0.3121,0.126,0.1513,,3
3,100,600,100.2857143,75.14285714,0.749287749,,83.0626,0.98,81.0515,,-0.307908746,0.171740456,-0.078632129,,transition,,keyhole(R>1),0.1989,0.1167,0.1478,,38
4,100,700,79,49.14285714,0.622061483,,78,0.87,67.2315,,-0.398575581,0.018879747,-0.368082849,,transition,,"relevant area (0,8",0.2363,0.1258,0.1099,,21
5,100,800,80.14285714,47.57142857,0.593582888,,74.1632,0.78,57.959,,-0.314054053,0.074612478,-0.218357357,,conduction,,all,0.2057,0.1115,0.1558,,44
6,100,900,75.71428571,46,0.60754717,,72.3087,0.71,51.4644,,-0.16863354,"0,044979434","-0,118791304",,conduction,,,,,,,
7,100,1000,72.71428571,46.14285714,0.634577603,,70.6557,0.65,46.2031,,-0.024303406,0.028310609,-0.001305573,,conduction,,stdev. error,,,,,nb. of samples
8,100,1100,61,28.85714286,0.473067916,,69.1633,0.61,41.8593,,-0.289455445,-0.13382459,-0.450569802,,conduction,,conduction (R<1),0.129,0.0616,0.1743,,6
9,200,400,144.2857143,305.7142857,2.118811881,,136.961,2.62,358.2846,,-0.236542056,0.050765347,-0.171958972,,keyhole,,"transition (0,8",0.0779,0.0931,0.1911,,3
10,200,500,157.7142857,278.7142857,1.767210145,,125.6561,2.23,280.6738,,-0.261875961,0.203267482,-0.007030548,,keyhole,,keyhole (R>1),0.2025,0.0833,0.1407,,38
11,200,600,133.7142857,265.8571429,1.988247863,,116.4691,1.95,227.2984,,0.019236969,0.128970406,0.145035572,,keyhole,,"relevant area (0,8",0.2376,0.0945,0.1081,,21
12,200,700,126,198.8571429,1.578231293,,108.2419,1.73,187.7798,,-0.096163793,0.140937302,0.055705029,,keyhole,,all,0.1937,0.0811,0.1448,,44
