Slice,Orientation (degrees),Power (W),Velocity (mm/s),Width (um),Depth (um),Cap (um)
1,0,370,1300,269.676,283.296,32.688
1,0,370,1350,261.504,326.88,28.602
1,0,370,1400,295.554,275.124,42.222
1,0,370,1450,294.192,276.486,51.756
1,0,370,1500,290.106,265.59,38.136
1,0,370,1550,291.922,266.952,66.738
1,0,370,1600,267.406,228.816,76.272
1,0,370,1650,276.486,238.35,76.726
1,0,370,1700,261.504,246.522,91.254
1,90,370,1300,276.486,276.486,32.688
1,90,370,1350,256.056,280.572,27.24
1,90,370,1400,253.786,279.21,50.394
1,90,370,1450,296.008,257.418,34.05
1,90,370,1500,282.388,314.622,65.376
1,90,370,1550,266.498,268.768,47.67
1,90,370,1600,227.454,261.504,99.426
1,90,370,1650,265.136,261.504,96.248
1,90,370,1700,246.976,230.178,103.512
1,180,370,1300,262.866,171.612,61.29
1,180,370,1350,256.51,141.648,89.892
1,180,370,1400,261.504,175.698,103.512
1,180,370,1450,253.786,114.408,46.308
1,180,370,1500,262.866,88.53,76.272
1,180,370,1550,294.192,89.892,95.34
1,180,370,1600,236.988,129.39,88.53
1,180,370,1650,227.454,96.702,26.332
1,180,370,1700,238.804,186.594,66.738
1,270,370,1300,152.544,133.476,34.05
1,270,370,1350,277.394,233.356,49.94
1,270,370,1400,271.038,209.748,100.788
1,270,370,1450,315.984,152.544,96.702
1,270,370,1500,275.124,148.458,113.046
1,270,370,1550,236.988,204.754,80.358
1,270,370,1600,219.282,177.06,99.426
1,270,370,1650,236.988,198.852,74.91
1,270,370,1700,271.038,198.852,74.91
1,45,370,1300,208.386,156.63,74.91
1,45,370,1350,219.282,156.63,70.824
1,45,370,1400,175.244,133.93,47.67
1,45,370,1450,200.214,113.046,66.738
1,45,370,1500,185.232,122.58,69.462
1,45,370,1550,170.25,133.476,69.462
1,45,370,1600,187.956,166.618,65.83
1,45,370,1650,257.418,131.206,78.996
1,45,370,1700,167.526,137.562,61.29
1,135,370,1300,198.852,170.25,32.688
1,135,370,1350,280.572,196.128,69.462
1,135,370,1400,257.418,157.992,47.67
1,135,370,1450,291.468,208.386,80.358
1,135,370,1500,269.676,166.164,62.652
1,135,370,1550,229.27,202.938,61.29
1,135,370,1600,230.178,200.668,91.254
1,135,370,1650,215.196,215.196,65.376
1,135,370,1700,179.784,143.01,21.338
1,225,370,1300,243.798,108.506,27.694
1,225,370,1350,253.786,162.078,55.842
1,225,370,1400,242.436,98.064,31.78
1,225,370,1450,270.13,80.812,61.29
1,225,370,1500,230.178,117.132,78.996
1,225,370,1550,271.038,113.046,76.272
1,225,370,1600,224.73,95.34,46.308
1,225,370,1650,231.994,139.832,71.278
1,225,370,1700,219.282,157.992,58.112
1,315,370,1300,245.16,181.6,18.614
1,315,370,1350,247.884,160.716,24.516
1,315,370,1400,242.436,209.748,14.074
1,315,370,1450,233.356,191.134,34.05
1,315,370,1500,227.454,172.066,29.964
1,315,370,1550,243.344,192.95,52.21
1,315,370,1600,231.54,204.3,47.67
1,315,370,1650,219.736,143.464,43.584
1,315,370,1700,213.834,98.064,31.78
2,0,370,1300,310.536,239.712,28.602
2,0,370,1350,309.174,238.35,27.24
2,0,370,1400,271.038,262.866,38.136
2,0,370,1450,309.174,204.3,32.688
2,0,370,1500,256.056,183.87,24.516
2,0,370,1550,264.228,208.84,50.848
2,0,370,1600,237.896,147.55,53.572
2,0,370,1650,205.208,172.974,76.272
2,0,370,1700,236.988,154.36,75.364
2,90,370,1300,280.118,291.468,21.792
2,90,370,1350,327.334,256.056,38.136
2,90,370,1400,318.708,272.4,24.516
2,90,370,1450,291.468,232.902,32.688
2,90,370,1500,242.436,279.21,51.756
2,90,370,1550,235.626,205.662,53.118
2,90,370,1600,246.522,236.988,51.756
2,90,370,1650,208.386,133.476,74.91
2,90,370,1700,213.834,137.562,85.806
2,180,370,1300,236.988,212.472,58.566
2,180,370,1350,250.608,230.178,42.222
2,180,370,1400,181.146,196.128,66.738
2,180,370,1450,200.668,197.036,50.848
2,180,370,1500,175.698,152.998,34.05
2,180,370,1550,211.11,183.87,47.67
2,180,370,1600,138.016,153.452,37.682
2,180,370,1650,179.784,128.482,52.21
2,180,370,1700,179.784,162.986,49.032
2,270,370,1300,194.766,113.046,34.05
2,270,370,1350,220.19,108.96,29.056
2,270,370,1400,230.178,157.992,65.376
2,270,370,1450,215.65,84.444,65.376
2,270,370,1500,223.822,137.562,27.24
2,270,370,1550,178.876,80.812,33.142
2,270,370,1600,196.128,136.2,61.29
2,270,370,1650,199.306,99.426,49.486
2,270,370,1700,185.232,102.604,45.854
2,45,370,1300,238.35,204.3,42.222
2,45,370,1350,237.442,224.73,33.142
2,45,370,1400,221.098,201.576,36.774
2,45,370,1450,212.018,123.488,40.86
2,45,370,1500,224.276,84.444,46.308
2,45,370,1550,224.276,118.494,46.308
2,45,370,1600,230.178,98.064,66.738
2,45,370,1650,201.122,143.464,92.162
2,45,370,1700,203.392,118.494,95.34
2,135,370,1300,246.522,167.526,74.91
2,135,370,1350,155.268,141.648,53.118
2,135,370,1400,185.232,198.852,36.774
2,135,370,1450,225.184,106.236,55.842
2,135,370,1500,236.988,104.874,74.91
2,135,370,1550,322.794,98.518,62.652
2,135,370,1600,227.454,91.254,27.24
2,135,370,1650,200.214,132.114,42.222
2,135,370,1700,213.834,113.046,59.928
2,225,370,1300,276.486,228.816,17.706
2,225,370,1350,247.884,271.038,36.774
2,225,370,1400,252.424,215.196,31.78
2,225,370,1450,190.68,177.06,50.394
2,225,370,1500,251.97,271.492,66.738
2,225,370,1550,217.92,228.816,50.848
2,225,370,1600,190.68,185.232,42.222
2,225,370,1650,172.974,133.022,28.602
2,225,370,1700,217.012,81.72,21.792
2,315,370,1300,227.908,137.562,8.172
2,315,370,1350,222.46,215.196,27.24
2,315,370,1400,212.472,209.748,21.792
2,315,370,1450,224.73,197.944,27.694
2,315,370,1500,223.368,177.06,17.706
2,315,370,1550,212.472,147.096,43.584
2,315,370,1600,235.626,162.078,38.136
2,315,370,1650,215.196,147.55,48.124
2,315,370,1700,179.784,89.892,50.394
3,0,370,1550,253.332,147.096,47.67
3,0,370,1600,215.196,205.662,42.222
3,0,370,1650,204.754,160.716,114.408
3,0,370,1700,223.368,143.01,148.912
3,90,370,1300,286.928,267.406,27.24
3,90,370,1350,253.332,251.97,28.602
3,90,370,1400,247.884,251.97,17.706
3,90,370,1450,232.902,200.214,34.05
3,90,370,1500,257.418,238.35,42.222
3,90,370,1550,215.196,185.232,51.756
3,90,370,1600,242.89,170.25,70.824
3,90,370,1650,179.784,152.544,66.738
3,90,370,1700,223.368,138.924,108.96
3,180,370,1300,205.662,104.874,47.67
3,180,370,1350,243.798,228.816,34.05
3,180,370,1400,219.282,113.046,70.824
3,270,370,1300,271.038,156.63,62.652
3,270,370,1350,253.332,143.01,62.652
3,270,370,1400,256.056,113.046,65.376
3,270,370,1450,251.97,95.34,70.824
3,270,370,1500,214.288,99.426,46.308
3,270,370,1550,200.214,85.806,38.136
3,270,370,1600,215.196,132.114,76.272
3,270,370,1650,257.418,133.476,89.892
3,270,370,1700,238.35,87.168,69.462
3,45,370,1300,213.834,136.2,49.032
3,45,370,1350,200.214,114.408,86.26
3,45,370,1400,204.3,141.648,84.444
3,45,370,1450,215.65,162.078,59.928
3,45,370,1500,228.816,88.53,61.29
3,45,370,1550,234.264,104.874,74.91
3,135,370,1450,227.454,74.91,42.222
3,135,370,1500,204.3,47.67,40.86
3,135,370,1550,205.662,76.272,51.756
3,135,370,1600,157.992,118.494,57.204
3,135,370,1650,234.264,68.1,36.774
3,135,370,1700,193.404,102.15,62.652
3,225,370,1300,307.812,193.858,36.774
3,225,370,1350,276.486,208.386,51.756
3,225,370,1400,262.866,187.956,33.142
3,225,370,1450,232.448,145.734,43.584
3,225,370,1500,229.27,179.784,61.29
3,225,370,1550,253.332,156.63,43.584
3,225,370,1600,212.472,179.784,84.444
3,225,370,1650,257.418,235.172,78.996
3,225,370,1700,164.802,119.856,70.37
3,315,370,1300,250.608,238.804,32.688
3,315,370,1600,232.902,152.544,42.222
3,315,370,1650,200.214,132.114,47.67
3,315,370,1700,227.454,145.734,81.72
4,0,370,1300,256.056,251.062,12.258
4,0,370,1350,272.4,227.454,10.896
4,0,370,1400,253.332,213.834,19.068
4,0,370,1450,250.608,217.92,23.154
4,0,370,1500,257.418,191.134,39.498
4,0,370,1550,238.35,204.3,38.136
4,0,370,1600,232.902,133.476,66.738
4,0,370,1650,219.282,171.612,108.96
4,0,370,1700,175.698,128.028,70.824
4,90,370,1300,260.142,272.4,24.516
