Slice,Orientation (degrees),Velocity (mm/s),Width (um),Depth (um),Cap (um)
1,0,1300,147.4782,148.0224,19.954
1,0,1350,132.2406,139.8594,18.7749
1,0,1400,136.05,128.4312,22.5843
1,0,1450,135.8686,115.4611,25.5774
1,0,1500,148.5666,78.0927,34.0125
1,0,1550,141.7641,79.9974,32.3799
1,0,1600,144.7572,63.6714,34.2846
1,0,1650,144.4851,67.4808,30.4752
1,0,1700,140.6757,71.0181,20.9517
1,90,1300,135.5965,156.2761,17.1423
1,90,1350,143.6688,146.3898,21.768
1,90,1400,131.4243,140.6757,25.5774
1,90,1450,137.1384,111.2889,26.6658
1,90,1500,142.8525,97.956,36.1893
1,90,1550,139.8594,106.6632,50.3385
1,90,1600,134.1453,97.2304,33.1962
1,90,1650,136.8663,87.3441,38.094
1,90,1700,146.3898,116.1867,67.4808
1,180,1300,193.4631,40.815,37.8219
1,180,1350,179.0418,46.8012,53.6037
1,180,1400,175.7766,73.7391,50.3385
1,180,1450,162.1716,67.7529,59.0457
1,180,1500,122.1729,68.2971,37.2777
1,180,1550,177.4092,42.4476,35.1009
1,180,1600,187.4769,36.7335,25.0332
1,180,1650,175.7766,48.4338,48.4338
1,180,1700,141.2199,69.1134,43.8081
1,270,1300,133.6011,142.0362,16.326
1,270,1350,138.4989,148.2945,16.0539
1,270,1400,142.8525,126.1637,20.9517
1,270,1450,141.7641,114.5541,24.7611
1,270,1500,143.3967,118.0914,51.4269
1,270,1550,145.8456,93.0582,51.4269
1,270,1600,131.6964,115.9146,68.5692
1,270,1650,133.329,103.1259,49.2501
1,270,1700,133.329,97.6839,57.4131
1,45,1300,168.8834,109.3842,22.5843
1,45,1350,138.8617,144.5758,42.7197
1,45,1400,143.3967,134.1453,56.8689
1,45,1450,122.9892,139.2245,45.9849
1,45,1500,135.3244,139.8594,54.42
1,45,1550,111.2889,132.6941,37.0056
1,45,1600,114.6448,122.3543,29.3868
1,45,1650,141.4013,71.5623,43.536
1,45,1700,105.5748,106.119,90.5186
1,135,1300,160.0855,154.4621,45.4407
1,135,1350,155.097,167.7043,31.5636
1,135,1400,157.0017,151.5597,45.7128
1,135,1450,154.2807,135.2337,59.9527
1,135,1500,145.0293,112.6494,78.3648
1,135,1550,158.0901,104.7585,59.4992
1,135,1600,144.4851,130.608,47.6175
1,135,1650,138.4989,133.9639,33.559
1,135,1700,133.8732,126.98,122.445
1,225,1300,147.4782,136.05,17.9586
1,225,1350,136.05,136.05,17.9586
1,225,1400,133.6011,137.9547,24.7611
1,225,1450,128.7033,110.4726,24.489
1,225,1500,119.9054,124.6218,40.815
1,225,1550,142.3083,86.7999,48.5245
1,225,1600,127.6149,83.8068,32.3799
1,225,1650,134.9616,81.9021,52.5153
1,225,1700,136.3221,100.9491,60.9504
1,315,1300,148.0224,135.2337,17.1423
1,315,1350,181.7628,134.4174,22.8564
1,315,1400,155.097,119.9961,25.5774
1,315,1450,134.1453,112.3773,16.0539
1,315,1500,133.0569,99.9514,23.9448
1,315,1550,139.8594,111.2889,49.5222
1,315,1600,139.0431,88.5232,41.9034
1,315,1650,131.6964,72.3786,36.1893
1,315,1700,184.7559,73.1949,71.2902
2,0,1300,143.2153,143.2153,18.8656
2,0,1350,161.1739,139.0431,15.2376
2,0,1400,136.3221,125.166,22.5843
2,0,1450,136.3221,121.3566,23.9448
2,0,1500,132.1499,71.5623,30.2031
2,0,1550,143.5781,81.9021,29.3868
2,0,1600,140.7664,61.7667,35.6451
2,0,1650,139.3152,60.9504,25.5774
2,0,1700,138.6803,68.5692,21.768
2,90,1300,133.7825,152.1946,17.8679
2,90,1350,139.0431,146.934,17.5051
2,90,1400,136.3221,109.2935,27.4821
2,90,1450,139.4059,114.9169,31.0194
2,90,1500,144.8479,81.63,48.4338
2,90,1550,136.2314,72.9228,51.9711
2,90,1600,141.2199,87.5255,56.5968
2,90,1650,133.6011,82.9905,38.7289
2,90,1700,127.7056,103.1259,76.4601
2,180,1300,144.4851,38.3661,43.536
2,180,1350,164.8926,45.1686,53.3316
2,180,1400,168.702,65.5761,54.9642
2,180,1450,180.9465,64.4877,62.8551
2,180,1500,179.8581,60.9504,44.8965
2,180,1550,169.5183,41.6313,33.7404
2,180,1600,187.2048,33.0148,28.5705
2,180,1650,196.1841,44.3523,49.7943
2,180,1700,177.9534,65.3947,53.4223
2,270,1300,135.2337,141.492,16.0539
2,270,1350,137.3198,145.5735,18.2307
2,270,1400,118.9077,121.6287,24.7611
2,270,1450,130.3359,105.6655,31.5636
2,270,1500,139.0431,109.747,57.141
2,270,1550,130.0638,87.7069,54.1479
2,270,1600,137.4105,112.3773,72.3786
2,270,1650,134.6895,95.235,44.8965
2,270,1700,135.7779,102.0375,60.769
2,45,1300,130.608,105.5748,22.0401
2,45,1350,144.4851,124.7125,41.9034
2,45,1400,144.7572,108.2958,59.0457
2,45,1450,111.2889,122.7171,49.5222
2,45,1500,138.2268,134.9616,57.9573
2,45,1550,129.5196,127.3428,38.9103
2,45,1600,118.9077,105.6655,39.5452
2,45,1650,135.5058,68.5692,45.7128
2,45,1700,132.6034,101.0398,80.8137
2,135,1300,167.3415,128.4312,42.4476
2,135,1350,153.7365,149.4736,29.1147
2,135,1400,126.5265,98.0467,51.699
2,135,1450,108.2958,97.8653,60.3155
2,135,1500,149.4736,95.5071,76.4601
2,135,1550,162.7158,102.3096,61.7667
2,135,1600,145.4828,129.3382,48.4338
2,135,1650,129.8824,117.2751,36.3707
2,135,1700,130.608,80.8137,80.2695
2,225,1300,148.8387,139.5873,15.5097
2,225,1350,135.2337,136.3221,17.1423
2,225,1400,147.4782,135.3244,26.6658
2,225,1450,113.5564,104.4864,28.5705
2,225,1500,128.7033,125.7102,37.2777
2,225,1550,135.2337,91.1535,48.4338
2,225,1600,144.4851,74.8275,35.1916
2,225,1650,138.2268,84.7138,46.6198
2,225,1700,134.9616,104.7585,60.9504
2,315,1300,136.05,135.7779,20.1354
2,315,1350,151.1969,133.0569,26.3937
2,315,1400,122.9892,115.0983,27.4821
2,315,1450,122.9892,99.8607,27.7542
2,315,1500,110.654,100.9491,32.3799
2,315,1550,129.7917,106.6632,44.8965
2,315,1600,141.492,79.5439,50.7013
2,315,1650,145.5735,71.0181,39.9987
2,315,1700,136.05,66.6645,71.0181
3,0,1300,131.4243,145.5735,16.8702
3,0,1350,134.4174,132.6034,19.3191
3,0,1400,135.2337,124.6218,46.257
3,0,1450,127.887,118.0914,31.5636
3,0,1500,142.8525,85.7115,54.6921
3,0,1550,136.8663,96.3234,47.6175
3,0,1600,130.3359,73.7391,90.7
3,0,1650,131.6964,74.8275,57.6852
3,0,1700,137.1384,104.4864,36.28
3,90,1300,158.0901,157.2738,22.0401
3,90,1350,140.6757,165.4368,19.3191
3,90,1400,123.5334,145.3014,23.9448
3,90,1450,130.0638,140.9478,28.5705
3,90,1500,137.4105,135.2337,38.094
3,90,1550,136.6849,97.6839,76.4601
3,90,1600,151.0155,81.63,47.8896
3,90,1650,143.1246,130.6987,67.7529
3,90,1700,137.2291,96.0513,70.2018
3,180,1300,148.5666,50.3385,34.2846
3,180,1350,159.7227,39.7266,40.815
3,180,1400,179.3139,46.257,17.7772
3,180,1450,184.7559,64.7598,56.8689
3,180,1500,152.6481,64.4877,58.7736
3,180,1550,154.2807,53.0595,49.5222
3,180,1600,187.4769,38.094,36.1893
3,180,1650,189.6537,43.8081,34.2846
3,180,1700,194.0073,78.6369,65.3947
3,270,1300,147.4782,144.4851,19.047
3,270,1350,142.8525,142.5804,19.047
3,270,1400,136.3221,135.2337,22.3122
3,270,1450,137.1384,105.5748,32.1078
3,270,1500,134.9616,95.7792,46.5291
3,270,1550,130.608,88.7046,28.5705
3,270,1600,147.7503,86.2557,43.8081
3,270,1650,127.887,77.2764,72.3786
3,270,1700,131.4243,69.9297,69.3855
3,45,1300,146.6619,141.492,26.3937
3,45,1350,152.376,154.5528,33.1962
3,45,1400,139.8594,159.1785,33.1962
3,45,1450,173.4184,134.1453,39.7266
3,45,1500,164.6205,110.4726,70.3832
3,45,1550,122.9892,124.6218,64.4877
3,45,1600,122.7171,126.2544,72.3786
3,45,1650,127.3428,53.0595,103.398
3,45,1700,130.608,66.6645,33.1962
3,135,1300,177.772,184.121,42.9918
3,135,1350,147.7503,167.8857,40.815
3,135,1400,160.0855,172.2393,37.5498
3,135,1450,154.0993,142.0362,61.8574
3,135,1500,148.4759,124.8939,68.5692
3,135,1550,167.6136,118.0914,41.0871
3,135,1600,161.0832,106.3911,90.6093
3,135,1650,147.6596,106.6632,90.7
3,135,1700,131.9685,77.9113,54.1479
3,225,1300,150.4713,112.5587,34.0125
3,225,1350,149.655,148.5666,22.5843
3,225,1400,144.4851,137.9547,25.3053
3,225,1450,140.9478,130.608,37.2777
3,225,1500,142.8525,110.2005,34.8288
3,225,1550,145.3014,105.1213,33.1962
3,225,1600,142.5804,95.235,51.699
3,225,1650,147.4782,88.5232,48.4338
3,225,1700,148.5666,81.63,63.6714
3,315,1300,154.3714,144.7572,24.7611
3,315,1350,136.8663,134.1453,22.0401
3,315,1400,151.2876,130.3359,32.3799
3,315,1450,126.5265,124.6218,49.5222
3,315,1500,126.5265,78.0927,52.2432
3,315,1550,133.329,117.8193,57.6852
3,315,1600,168.7927,78.0927,38.094
3,315,1650,135.7779,74.8275,39.7266
3,315,1700,129.5196,73.8298,43.536
