P_W,v_mm_per_s,melt_depth_um,melt_width_um
100,400,157,98
100,500,136,90
100,600,55,92
100,700,71,82
100,800,30,70
100,900,19,60
100,400,138,112
100,500,115,110
100,600,44,86
100,700,55,96
100,800,14,56
100,900,17,62
100,400,153,110
100,500,76,106
100,600,56,94
100,700,44,84
100,800,37,82
100,900,22,60
100,400,142,106
100,500,78,100
100,600,76,98
100,700,48,102
100,800,19,72
100,900,35,82
100,400,138,122
100,500,79,104
100,600,87,104
100,700,47,88
100,800,25,78
100,900,15,58
100,400,163,112
100,500,87,102
100,600,50,90
100,700,49,96
100,800,44,86
100,900,23,72
100,400,108,136
100,500,100,112
100,600,52,102
100,700,63,100
100,800,23,68
100,900,27,64
100,400,153,140
100,500,81,114
100,600,41,100
100,700,37,86
100,800,25,66
100,900,23,70
100,400,148,140
100,500,100,100
100,600,59,104
100,700,44,78
100,800,22,60
100,900,45,78
200,400,289,166
200,500,252,146
200,600,205,136
200,700,206,132
200,800,178,136
200,900,137,104
200,1000,105,112
200,1100,86,90
200,400,258,168
200,500,259,136
200,600,223,178
200,700,154,128
200,800,111,150
200,900,137,118
200,1000,127,106
200,1100,90,100
200,400,254,186
200,500,234,166
200,600,205,154
200,700,189,146
200,800,167,150
200,900,107,110
200,1000,115,112
200,1100,77,92
200,400,321,180
200,500,276,140
200,600,214,194
200,700,205,142
200,800,152,144
200,900,102,140
200,1000,92,96
200,1100,53,84
200,400,318,202
200,500,244,154
200,600,186,154
200,700,196,140
200,800,155,148
200,900,124,122
200,1000,106,110
200,1100,75,104
200,400,355,184
200,500,265,140
200,600,219,148
200,700,176,150
200,800,140,132
200,900,127,128
200,1000,104,110
200,1100,93,138
200,400,303,198
200,500,281,176
200,600,251,192
200,700,175,178
200,800,161,150
200,900,128,140
200,1000,105,128
200,1100,106,110
200,400,346,190
200,500,299,176
200,600,236,150
200,700,166,164
200,800,143,148
200,900,145,112
200,1000,101,100
200,1100,106,92
200,400,326,186
200,500,304,220
200,600,217,178
200,700,162,158
200,800,170,168
200,900,155,136
200,1000,100,116
200,1100,112,112
300,400,473,176
300,500,460,158
300,600,369,156
300,700,313,132
300,800,300,142
300,900,260,122
300,1000,246,110
300,1100,147,132
300,400,556,170
300,500,495,168
300,600,422,128
300,700,328,150
300,800,287,146
300,900,280,122
300,1000,233,132
300,1100,182,134
300,400,539,222
300,500,509,168
300,600,407,154
300,700,264,158
300,800,310,126
300,900,320,152
300,1000,217,128
300,1100,184,144
300,400,505,198
300,500,526,154
300,600,365,150
300,700,307,176
300,800,295,146
300,900,287,136
300,1000,177,136
300,1100,136,134
300,400,546,196
300,500,463,198
300,600,334,204
300,700,378,186
300,800,333,146
300,900,279,146
300,1000,195,140
300,1100,144,126
300,400,551,186
300,500,520,208
300,600,317,180
300,700,365,156
300,800,306,138
300,900,306,150
300,1000,245,124
300,1100,123,122
300,400,604,206
300,500,460,184
300,600,362,180
300,700,353,164
300,800,246,166
300,900,326,148
300,1000,227,134
300,1100,164,146
300,400,550,212
300,500,398,200
300,600,326,190
300,700,293,168
300,800,279,148
300,900,281,140
300,1000,177,146
300,1100,147,106
300,400,558,186
300,500,449,208
300,600,373,166
300,700,331,166
300,800,344,146
300,900,257,148
300,1000,211,138
300,1100,153,146
400,400,653,186
400,500,647,192
400,600,493,198
400,700,489,186
400,800,417,148
400,900,315,164
